country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,0.03,0.05,0.05,0.16,0.15,0.11,0.25,0.35,0.33,0.25,0.23,0.21,0.18,0.08,0.2,0.31,0.28,0.28,0.27,0.24,0.35,0.36,0.41,0.5,0.58,0.58,0.63,0.64,0.63,0.66,0.68,0.67,0.64,0.62,0.69,0.73,0.73,0.73,0.73
Albania,0.92,0.92,0.92,0.92,0.92,0.94,0.94,0.94,0.96,0.96,0.89,0.82,0.97,0.98,0.98,0.98,0.99,0.99,0.97,0.97,0.97,0.97,0.98,0.97,0.98,0.97,0.97,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99
Algeria,,0.31,0.31,0.3,0.3,0.69,0.72,0.79,0.85,0.87,0.89,0.89,0.88,0.88,0.87,0.88,0.88,0.89,0.85,0.83,0.86,0.89,0.86,0.87,0.86,0.88,0.95,0.95,0.92,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.91,0.91,0.91,0.91
Andorra,,,,,,,,,,,,,,,,,,0.9,0.9,0.95,0.95,0.95,0.95,0.99,0.99,0.98,0.93,0.96,0.99,0.99,0.99,0.99,0.99,0.96,0.97,0.97,0.98,0.99,0.99,0.99
Angola,,,,,,0.13,0.15,0.16,0.13,0.19,0.23,0.26,0.21,0.28,0.28,0.28,0.33,0.38,0.43,0.32,0.21,0.28,0.22,0.21,0.18,0.14,0.08,0.43,0.36,0.36,0.56,0.5,0.54,0.48,0.55,0.57,0.53,0.47,0.56,0.51
Antigua and Barbuda,0.36,0.47,0.86,0.99,0.93,0.99,0.96,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.99,0.93,0.99,0.97,0.98,0.99,0.98,0.99,0.98,0.99,0.99,0.97,0.98,0.96,0.86,0.87,0.94,0.94,0.95
Argentina,0.33,0.4,0.48,0.79,0.72,0.73,0.79,0.85,0.9,0.86,0.9,0.86,0.85,0.82,0.85,0.9,0.9,0.92,0.9,0.91,0.88,0.85,0.94,0.95,0.91,0.95,0.92,0.92,0.94,0.97,0.95,0.93,0.9,0.9,0.92,0.93,0.87,0.84,0.84,0.84
Armenia,,,,,,,,,,,,,0.92,0.92,0.92,0.93,0.97,0.95,0.96,0.97,0.96,0.97,0.96,0.96,0.93,0.92,0.87,0.9,0.91,0.94,0.96,0.96,0.96,0.96,0.95,0.96,0.96,0.96,0.92,0.94
Australia,0.17,0.43,0.68,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.72,0.75,0.78,0.8,0.83,0.86,0.86,0.77,0.83,0.88,0.9,0.91,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.92,0.93,0.94,0.95,0.95,0.95
Austria,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.95,0.95,0.87,0.79,0.71,0.83,0.82,0.84,0.83,0.86,0.83,0.85,0.83,0.83,0.86,0.89,0.92,0.95,0.98,0.93,0.87,0.9,0.85,0.85
Azerbaijan,,,,,,,,,,,,,0.63,0.69,0.68,0.71,0.72,0.73,0.74,0.76,0.75,0.77,0.8,0.79,0.78,0.79,0.8,0.81,0.85,0.84,0.85,0.91,0.92,0.96,0.97,0.98,0.98,0.97,0.96,0.96
Bahamas,0.35,0.4,0.67,0.65,0.69,0.84,0.81,0.76,0.84,0.82,0.82,0.91,0.92,0.91,0.91,0.86,0.85,0.86,0.88,0.82,0.91,0.98,0.93,0.93,0.92,0.93,0.94,0.95,0.93,0.97,0.97,0.97,0.99,0.97,0.96,0.95,0.94,0.94,0.9,0.86
Bahrain,0.72,0.75,0.79,0.83,0.86,0.9,0.92,0.95,0.96,0.96,0.94,0.99,0.94,0.94,0.96,0.95,0.96,0.98,0.98,0.97,0.97,0.99,0.98,0.97,0.98,0.98,0.98,0.97,0.97,0.97,0.99,0.99,0.99,0.99,0.98,0.98,0.99,0.98,0.99,0.99
Bangladesh,,0.01,0.01,0.01,0.01,0.02,0.04,0.08,0.16,0.49,0.69,0.74,0.67,0.74,0.84,0.69,0.77,0.78,0.79,0.81,0.83,0.85,0.83,0.9,0.88,0.94,0.95,0.96,0.96,0.97,0.94,0.96,0.94,0.96,0.97,0.98,0.98,0.98,0.98,0.98
Barbados,0.99,0.54,0.63,0.62,0.77,0.88,0.8,0.68,0.73,0.8,0.9,0.84,0.89,0.88,0.91,0.93,0.85,0.96,0.93,0.86,0.86,0.93,0.86,0.9,0.93,0.91,0.85,0.93,0.85,0.93,0.9,0.91,0.88,0.91,0.95,0.97,0.97,0.91,0.94,0.91
Belarus,,,,,,,,,,,,,0.9,0.91,0.92,0.96,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.53,0.99,0.98,0.97,0.9,0.98,0.98,0.99,0.98,0.98,0.98,0.97,0.99,0.98,0.98,0.98,0.98
Belgium,0.99,0.99,0.9,0.9,0.95,0.97,0.99,0.97,0.95,0.95,0.95,0.93,0.94,0.94,0.93,0.92,0.94,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.99,0.99,0.99,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98
Belize,0.44,0.54,0.65,0.61,0.61,0.61,0.84,0.58,0.63,0.74,0.86,0.8,0.89,0.86,0.84,0.83,0.85,0.85,0.87,0.84,0.91,0.96,0.93,0.95,0.97,0.96,0.98,0.97,0.94,0.98,0.96,0.95,0.98,0.95,0.95,0.94,0.96,0.88,0.96,0.98
Benin,,,,,,0.16,0.17,0.25,0.3,0.48,0.74,0.68,0.73,0.75,0.82,0.68,0.67,0.66,0.7,0.74,0.78,0.77,0.76,0.75,0.74,0.73,0.76,0.82,0.77,0.8,0.77,0.77,0.8,0.73,0.71,0.72,0.75,0.75,0.75,0.75
Bhutan,0.04,0.11,0.11,0.14,0.27,0.41,0.54,0.63,0.7,0.76,0.96,0.91,0.85,0.82,0.84,0.86,0.86,0.87,0.85,0.89,0.98,0.88,0.89,0.96,0.9,0.95,0.96,0.93,0.96,0.93,0.92,0.95,0.97,0.97,0.98,0.98,0.97,0.97,0.97,0.97
Bolivia,0.14,0.15,0.12,0.11,0.46,0.3,0.42,0.41,0.4,0.51,0.5,0.52,0.54,0.56,0.6,0.64,0.61,0.57,0.59,0.79,0.74,0.71,0.76,0.82,0.84,0.84,0.82,0.85,0.87,0.92,0.9,0.95,0.93,0.88,0.85,0.88,0.87,0.83,0.83,0.75
Bosnia and Herzegovina,,,,,,,,,,,,,0.65,0.45,0.69,0.69,0.74,0.8,0.89,0.9,0.87,0.92,0.86,0.87,0.87,0.95,0.91,0.95,0.92,0.9,0.9,0.89,0.87,0.87,0.86,0.74,0.79,0.75,0.73,0.73
Botswana,0.46,0.71,0.77,0.8,0.83,0.85,0.88,0.86,0.89,0.89,0.9,0.91,0.91,0.92,0.93,0.94,0.95,0.95,0.93,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Brazil,0.69,0.39,0.51,0.55,0.55,0.52,0.51,0.53,0.57,0.54,0.58,0.67,0.65,0.64,0.7,0.79,0.8,0.89,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.96,0.96,0.96,0.98,0.72,0.75,0.85,0.85
Brunei,0.89,0.95,0.99,0.9,0.94,0.88,0.86,0.88,0.89,0.91,0.92,0.94,0.95,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.99,0.99,0.99,0.99,0.92,0.93,0.94,0.95,0.97,0.99,0.99,0.96,0.92,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Bulgaria,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.81,0.99,0.97,0.94,0.97,0.95,0.96,0.96,0.97,0.94,0.94,0.94,0.96,0.94,0.97,0.96,0.95,0.96,0.94,0.94,0.95,0.95,0.95,0.88,0.91,0.92,0.92,0.92,0.92
Burkina Faso,,,,,,0.1,0.21,0.23,0.34,0.44,0.66,0.53,0.41,0.39,0.36,0.35,0.37,0.39,0.15,0.15,0.45,0.62,0.69,0.83,0.83,0.94,0.94,0.93,0.92,0.91,0.9,0.9,0.9,0.89,0.91,0.91,0.91,0.91,0.91,0.91
Burundi,,0.39,0.43,0.35,0.21,0.58,0.56,0.71,0.51,0.86,0.97,0.89,0.81,0.64,0.49,0.73,0.72,0.69,0.61,0.7,0.71,0.72,0.74,0.75,0.76,0.82,0.88,0.93,0.89,0.96,0.94,0.95,0.96,0.96,0.95,0.94,0.94,0.91,0.9,0.93
Cambodia,,,,,0.18,0.26,0.35,0.57,0.45,0.48,0.38,0.39,0.32,0.36,0.38,0.39,0.48,0.56,0.57,0.65,0.62,0.59,0.54,0.69,0.86,0.82,0.8,0.82,0.91,0.95,0.9,0.91,0.9,0.71,0.92,0.92,0.91,0.91,0.9,0.94
Cameroon,,0.05,0.15,0.25,0.26,0.35,0.42,0.44,0.51,0.54,0.54,0.46,0.37,0.34,0.42,0.46,0.43,0.47,0.53,0.58,0.57,0.61,0.66,0.72,0.72,0.79,0.78,0.81,0.82,0.79,0.83,0.8,0.85,0.88,0.84,0.77,0.75,0.74,0.68,0.68
Canada,,,,,,,,0.86,0.87,0.87,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.91,0.93,0.95,0.99,0.96,0.93,0.9,0.87,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
Cape Verde,,,,0.22,0.31,0.39,0.6,0.87,0.85,0.99,0.87,0.88,0.89,0.9,0.89,0.89,0.88,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.97,0.98,0.99,0.99,0.99,0.9,0.94,0.93,0.95,0.93,0.95,0.96,0.98,0.97
Central African Republic,0.13,0.11,0.14,0.16,0.17,0.2,0.19,0.22,0.42,0.61,0.82,0.64,0.45,0.46,0.46,0.51,0.47,0.44,0.45,0.36,0.38,0.4,0.42,0.44,0.45,0.47,0.47,0.46,0.46,0.45,0.46,0.47,0.47,0.23,0.47,0.47,0.47,0.47,0.47,0.47
Chad,,,,,0.04,0.03,0.08,0.13,0.14,0.2,0.2,0.18,0.1,0.12,0.18,0.18,0.2,0.24,0.29,0.34,0.3,0.26,0.31,0.36,0.31,0.37,0.49,0.38,0.3,0.32,0.43,0.4,0.51,0.46,0.44,0.52,0.44,0.44,0.41,0.47
Chile,0.93,0.99,0.99,0.89,0.99,0.99,0.9,0.93,0.96,0.95,0.95,0.94,0.9,0.9,0.94,0.94,0.91,0.9,0.9,0.95,0.91,0.96,0.97,0.96,0.94,0.92,0.94,0.95,0.95,0.94,0.92,0.93,0.9,0.9,0.95,0.96,0.95,0.93,0.95,0.96
China,,,0.8,0.81,0.84,0.87,0.68,0.78,0.96,0.96,0.98,0.95,0.93,0.9,0.87,0.82,0.84,0.85,0.85,0.86,0.86,0.86,0.86,0.87,0.87,0.87,0.94,0.94,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Colombia,0.16,0.22,0.27,0.42,0.68,0.62,0.53,0.82,0.94,0.9,0.93,0.91,0.84,0.92,0.87,0.87,0.87,0.85,0.75,0.77,0.82,0.83,0.83,0.92,0.89,0.93,0.94,0.93,0.92,0.92,0.88,0.85,0.91,0.91,0.9,0.91,0.91,0.92,0.92,0.92
Comoros,,,,,0.32,0.53,0.73,0.73,0.44,0.78,0.94,0.55,0.46,0.7,0.58,0.78,0.6,0.48,0.75,0.73,0.7,0.7,0.98,0.8,0.73,0.67,0.69,0.75,0.81,0.84,0.82,0.85,0.85,0.85,0.87,0.92,0.92,0.94,0.94,0.94
"Congo, Dem. Rep.",0.15,0.18,0.22,0.26,0.3,0.34,0.39,0.38,0.41,0.38,0.34,0.16,0.31,0.29,0.27,0.24,0.18,0.18,0.18,0.21,0.42,0.3,0.4,0.47,0.52,0.6,0.62,0.72,0.64,0.78,0.76,0.77,0.73,0.66,0.68,0.63,0.57,0.59,0.59,0.59
"Congo, Rep.",0.42,0.42,0.48,0.53,0.59,0.73,0.71,0.71,0.71,0.79,0.8,0.74,0.67,0.6,0.55,0.5,0.47,0.21,0.25,0.29,0.31,0.32,0.41,0.5,0.67,0.62,0.73,0.71,0.77,0.76,0.72,0.72,0.68,0.85,0.9,0.8,0.71,0.69,0.75,0.78
Costa Rica,0.86,0.85,0.8,0.86,0.94,0.88,0.87,0.92,0.87,0.86,0.95,0.9,0.91,0.88,0.88,0.86,0.85,0.97,0.85,0.84,0.8,0.92,0.94,0.88,0.9,0.91,0.89,0.89,0.89,0.8,0.93,0.82,0.9,0.95,0.91,0.92,0.97,0.96,0.94,0.94
Cote d'Ivoire,,,,,0.11,0.16,0.22,0.27,0.32,0.42,0.56,0.51,0.49,0.51,0.49,0.46,0.54,0.59,0.59,0.58,0.66,0.7,0.7,0.68,0.76,0.87,0.76,0.75,0.58,0.77,0.75,0.58,0.83,0.74,0.71,0.77,0.81,0.82,0.86,0.85
Croatia,,,,,,,,,,,,,0.85,0.86,0.87,0.9,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.95,0.94,0.93,0.92,0.94,0.94
Cuba,0.99,0.97,0.83,0.95,0.95,0.88,0.99,0.86,0.98,0.96,0.94,0.97,0.99,0.97,0.96,0.95,0.98,0.97,0.97,0.96,0.98,0.99,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.98,0.99,0.99
Cyprus,0.35,0.44,0.27,0.36,0.31,0.61,0.91,0.93,0.9,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.98,0.98,0.98,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.97,0.97,0.97,0.96
Czech Republic,,,,,,,,,,,,,,0.99,0.98,0.98,0.98,0.97,0.97,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.96,0.94,0.96,0.97
Denmark,0.99,0.98,0.99,0.98,0.96,0.99,0.94,0.97,0.99,0.98,0.99,0.98,0.98,0.96,0.99,0.97,0.99,0.99,0.99,0.99,0.97,0.97,0.98,0.96,0.95,0.93,0.93,0.87,0.88,0.89,0.9,0.91,0.94,0.94,0.94,0.93,0.94,0.98,0.97,0.97
Djibouti,,,0.06,0.14,0.21,0.22,0.24,0.25,0.65,0.77,0.85,0.53,0.41,0.41,0.41,0.41,0.41,0.32,0.23,0.24,0.46,0.49,0.62,0.68,0.64,0.71,0.72,0.88,0.89,0.89,0.88,0.87,0.81,0.82,0.78,0.84,0.68,0.76,0.84,0.85
Dominica,0.53,0.97,0.73,0.92,0.82,0.89,0.92,0.95,0.97,0.94,0.94,0.94,0.99,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.96,0.93,0.95,0.99,0.99,0.98,0.97,0.96,0.97,0.98,0.99,0.91,0.94,0.99
Dominican Republic,0.46,0.42,0.43,0.22,0.99,0.39,0.79,0.79,0.65,0.7,0.9,0.74,0.73,0.82,0.98,0.7,0.7,0.71,0.68,0.71,0.71,0.71,0.74,0.65,0.66,0.86,0.88,0.86,0.86,0.85,0.85,0.84,0.85,0.82,0.9,0.87,0.82,0.8,0.89,0.92
Ecuador,0.19,0.27,0.36,0.32,0.47,0.39,0.44,0.51,0.58,0.64,0.67,0.61,0.86,0.84,0.83,0.82,0.8,0.79,0.83,0.83,0.83,0.9,0.88,0.97,0.9,0.89,0.92,0.95,0.94,0.91,0.88,0.85,0.85,0.87,0.84,0.84,0.79,0.83,0.85,0.85
Egypt,0.67,0.67,0.67,0.67,0.78,0.84,0.89,0.82,0.89,0.9,0.87,0.86,0.89,0.89,0.91,0.9,0.91,0.94,0.95,0.97,0.98,0.99,0.97,0.98,0.97,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.93,0.97,0.94,0.93,0.95,0.94,0.95,0.95
El Salvador,0.42,0.38,0.42,0.2,0.3,0.54,0.51,0.57,0.63,0.64,0.8,0.61,0.61,0.79,0.89,0.94,0.94,0.97,0.99,0.92,0.98,0.94,0.81,0.93,0.9,0.89,0.96,0.99,0.98,0.91,0.89,0.9,0.93,0.92,0.93,0.92,0.95,0.89,0.83,0.81
Equatorial Guinea,,,,,,0.04,0.04,0.08,0.11,0.15,0.75,0.75,0.76,0.76,0.77,0.79,0.8,0.81,0.81,0.39,0.41,0.43,0.45,0.47,0.49,0.51,0.53,0.55,0.57,0.59,0.61,0.6,0.58,0.57,0.55,0.37,0.55,0.55,0.55,0.55
Eritrea,,,,,,,,,,,,,,0.32,0.49,0.58,0.66,0.75,0.86,0.93,0.82,0.89,0.92,0.95,0.98,0.96,0.94,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.95
Estonia,,,,,,,,,,,,,,0.67,0.76,0.8,0.86,0.86,0.88,0.91,0.93,0.94,0.94,0.95,0.95,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.94,0.94,0.93,0.93,0.93,0.93,0.92,0.91
Eswatini,,0.22,0.39,0.43,0.49,0.59,0.72,0.74,0.89,0.89,0.89,0.79,0.93,0.86,0.96,0.81,0.81,0.86,0.86,0.86,0.87,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.89,0.89,0.89,0.85,0.92,0.98,0.98,0.84,0.9,0.9,0.9,0.89
Ethiopia,0.03,0.03,0.03,0.04,0.04,0.06,0.07,0.16,0.16,0.26,0.49,0.21,0.13,0.28,0.57,0.65,0.73,0.83,0.7,0.57,0.55,0.55,0.55,0.55,0.54,0.56,0.59,0.61,0.63,0.65,0.69,0.7,0.7,0.7,0.68,0.76,0.72,0.72,0.72,0.72
Fiji,0.55,0.62,0.65,0.81,0.72,0.68,0.73,0.92,0.99,0.99,0.96,0.99,0.98,0.96,0.96,0.99,0.99,0.88,0.89,0.9,0.91,0.92,0.94,0.95,0.96,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Finland,0.9,0.9,0.78,0.78,0.84,0.89,0.95,0.97,0.99,0.9,0.9,0.97,0.99,0.99,0.98,0.99,0.99,0.95,0.95,0.95,0.96,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.99,0.99,0.99,0.99,0.98,0.98,0.97,0.92,0.89,0.91,0.91
France,0.8,0.8,0.86,0.92,0.97,0.97,0.97,0.89,0.81,0.84,0.95,0.95,0.95,0.95,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.97,0.96,0.99,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.98,0.97,0.96,0.96,0.96,0.96
Gabon,,,,,,0.48,0.59,0.65,0.72,0.78,0.78,0.72,0.66,0.67,0.69,0.7,0.6,0.5,0.47,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.78,0.81,0.74,0.68,0.75,0.8,0.77,0.68,0.79,0.74,0.74,0.64,0.7
