country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Gambia,0.53,0.66,0.76,0.7,0.78,0.62,0.67,0.8,0.88,0.92,0.94,0.94,0.94,0.96,0.97,0.98,0.97,0.99,0.91,0.83,0.84,0.85,0.86,0.87,0.88,0.94,0.94,0.94,0.96,0.97,0.97,0.95,0.98,0.96,0.97,0.96,0.95,0.92,0.93,0.88
Georgia,,,,,,,,,,,,,0.68,0.82,0.82,0.82,0.82,0.81,0.8,0.82,0.81,0.83,0.89,0.74,0.66,0.82,0.89,0.88,0.9,0.93,0.88,0.88,0.93,0.94,0.91,0.91,0.92,0.91,0.93,0.94
Germany,0.8,0.95,0.95,0.94,0.9,0.85,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.96,0.97,0.96,0.96,0.95,0.94,0.95,0.95,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.93,0.93,0.93,0.93
Ghana,0.07,0.25,0.25,0.23,0.19,0.18,0.29,0.4,0.45,0.5,0.57,0.6,0.62,0.67,0.71,0.71,0.72,0.72,0.78,0.78,0.88,0.81,0.8,0.8,0.81,0.85,0.84,0.94,0.92,0.94,0.94,0.91,0.91,0.91,0.94,0.88,0.95,0.94,0.98,0.97
Greece,0.9,0.95,0.96,0.97,0.98,0.96,0.97,0.97,0.98,0.96,0.96,0.77,0.95,0.95,0.95,0.95,0.95,0.95,0.91,0.87,0.89,0.9,0.92,0.93,0.95,0.96,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Grenada,0.32,0.41,0.61,0.72,0.75,0.77,0.92,0.81,0.64,0.86,0.69,0.82,0.9,0.91,0.95,0.77,0.8,0.95,0.95,0.87,0.97,0.96,0.98,0.98,0.84,0.99,0.91,0.96,0.99,0.99,0.94,0.95,0.98,0.98,0.81,0.99,0.98,0.91,0.96,0.94
Guatemala,0.43,0.42,0.45,0.44,0.48,0.42,0.36,0.18,0.58,0.58,0.74,0.69,0.7,0.77,0.73,0.8,0.73,0.73,0.77,0.75,0.8,0.78,0.82,0.84,0.88,0.87,0.9,0.85,0.96,0.92,0.94,0.88,0.94,0.84,0.65,0.9,0.82,0.81,0.85,0.79
Guinea,,,0.15,0.15,0.15,0.16,0.16,0.16,0.16,0.16,0.18,0.37,0.52,0.53,0.53,0.54,0.48,0.46,0.59,0.43,0.47,0.52,0.56,0.61,0.65,0.59,0.53,0.46,0.59,0.6,0.62,0.63,0.56,0.49,0.42,0.47,0.48,0.48,0.48,0.48
Guinea-Bissau,,,,0.03,0.04,0.18,0.47,0.55,0.7,0.54,0.6,0.63,0.66,0.63,0.69,0.45,0.54,0.6,0.54,0.48,0.52,0.56,0.6,0.65,0.69,0.73,0.74,0.76,0.77,0.78,0.82,0.85,0.87,0.88,0.88,0.89,0.89,0.89,0.89,0.67
Guyana,0.42,0.37,0.73,0.62,0.41,0.77,0.67,0.77,0.69,0.79,0.79,0.81,0.87,0.92,0.9,0.87,0.83,0.88,0.9,0.83,0.79,0.9,0.93,0.91,0.91,0.93,0.92,0.94,0.93,0.97,0.95,0.93,0.97,0.98,0.97,0.92,0.94,0.94,0.94,0.97
Haiti,0.08,0.03,0.07,0.06,0.13,0.19,0.24,0.28,0.48,0.5,0.4,0.35,0.37,0.39,0.41,0.42,0.42,0.42,0.45,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.61,0.62,0.64,0.65,0.66,0.67,0.66,0.64,0.63,0.64,0.64,0.64,0.64,0.74
Honduras,0.31,0.37,0.47,0.51,0.73,0.58,0.63,0.61,0.7,0.86,0.87,0.93,0.94,0.95,0.95,0.94,0.94,0.93,0.97,0.95,0.88,0.99,0.95,0.92,0.94,0.98,0.94,0.94,0.93,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.94,0.89,0.9,0.87
Hungary,0.98,0.98,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Iceland,0.99,0.99,0.98,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.92,0.95,0.97,0.99,0.95,0.97,0.97,0.98,0.96,0.96,0.95,0.89,0.91,0.9,0.92,0.91,0.89,0.91,0.91
India,0.02,0.02,0.08,0.1,0.12,0.14,0.16,0.27,0.37,0.55,0.66,0.58,0.56,0.61,0.67,0.71,0.67,0.63,0.6,0.57,0.57,0.58,0.58,0.57,0.58,0.65,0.66,0.67,0.69,0.73,0.76,0.79,0.79,0.82,0.84,0.86,0.86,0.89,0.9,0.9
Indonesia,,0.01,0.01,0.04,0.06,0.13,0.46,0.49,0.53,0.56,0.6,0.62,0.65,0.67,0.69,0.71,0.83,0.79,0.87,0.86,0.72,0.77,0.8,0.8,0.79,0.79,0.78,0.77,0.83,0.85,0.82,0.81,0.87,0.92,0.9,0.85,0.85,0.88,0.87,0.85
Iran,0.38,0.47,0.74,0.34,0.34,0.63,0.58,0.58,0.88,0.82,0.9,0.88,0.97,0.99,0.95,0.97,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.99,0.98,0.95,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.99
Iraq,0.16,0.16,0.16,0.16,0.63,0.86,0.91,0.95,0.91,0.87,0.83,0.79,0.74,0.7,0.72,0.73,0.77,0.8,0.79,0.87,0.83,0.8,0.76,0.73,0.69,0.69,0.63,0.74,0.71,0.78,0.74,0.82,0.73,0.76,0.74,0.72,0.77,0.86,0.71,0.85
Ireland,0.72,0.76,0.79,0.76,0.74,0.9,0.84,0.78,0.72,0.81,0.81,0.8,0.8,0.79,0.78,0.77,0.77,0.76,0.84,0.86,0.86,0.84,0.83,0.86,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.95,0.95,0.95,0.94,0.94
Israel,0.85,0.93,0.93,0.88,0.87,0.86,0.93,0.93,0.94,0.93,0.93,0.94,0.96,0.97,0.97,0.96,0.95,0.95,0.92,0.92,0.93,0.93,0.91,0.93,0.95,0.95,0.94,0.95,0.94,0.96,0.95,0.94,0.94,0.96,0.95,0.95,0.94,0.98,0.98,0.98
Italy,,,,0.9,0.9,0.92,0.95,0.81,0.85,0.75,0.98,0.98,0.97,0.97,0.98,0.98,0.97,0.98,0.96,0.97,0.97,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.93,0.93,0.95,0.95,0.95
Jamaica,0.34,0.37,0.72,0.47,0.57,0.58,0.74,0.82,0.83,0.84,0.87,0.86,0.74,0.8,0.93,0.91,0.92,0.9,0.88,0.9,0.95,0.99,0.99,0.99,0.97,0.99,0.99,0.94,0.91,0.9,0.94,0.93,0.96,0.86,0.93,0.91,0.99,0.93,0.98,0.96
Japan,,,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.93,0.9,0.94,0.94,0.91,0.94,0.97,0.99,0.97,0.97,0.98,0.98,0.81,0.89,0.97,0.97,0.95,0.95,0.97,0.98,0.99,0.98,0.96,0.99,0.99,0.99,0.99,0.99,0.97,0.98,0.98
Jordan,0.32,0.81,0.75,0.77,0.81,0.84,0.88,0.89,0.92,0.94,0.92,0.92,0.92,0.91,0.94,0.95,0.96,0.99,0.99,0.85,0.94,0.97,0.95,0.97,0.95,0.95,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.99,0.92,0.87
Kazakhstan,,,,,,,,,,,,,0.87,0.69,0.69,0.94,0.98,0.99,0.99,0.99,0.96,0.95,0.95,0.99,0.99,0.99,0.99,0.94,0.99,0.99,0.98,0.99,0.98,0.98,0.95,0.98,0.82,0.99,0.98,0.97
Kenya,,,,,0.57,0.7,0.72,0.77,0.82,0.83,0.84,0.86,0.87,0.89,0.92,0.94,0.87,0.81,0.81,0.81,0.8,0.77,0.83,0.75,0.73,0.7,0.77,0.76,0.88,0.89,0.9,0.97,0.94,0.94,0.93,0.83,0.88,0.81,0.92,0.87
Kiribati,0.1,0.2,0.4,0.25,0.23,0.15,0.1,0.05,0.62,0.86,0.97,0.76,0.9,0.99,0.81,0.58,0.82,0.93,0.83,0.76,0.9,0.88,0.96,0.79,0.61,0.74,0.86,0.93,0.74,0.84,0.95,0.95,0.92,0.91,0.79,0.8,0.82,0.9,0.93,0.94
Kuwait,0.7,0.79,0.84,0.9,0.89,0.91,0.91,0.93,0.94,0.94,0.71,0.8,0.89,0.97,0.99,0.99,0.99,0.99,0.94,0.94,0.94,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.94,0.99,0.99,0.99,0.99,0.99
Kyrgyz Republic,,,,,,,,,,,,,0.91,0.69,0.84,0.96,0.94,0.99,0.97,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.93,0.94,0.95,0.96,0.88,0.94,0.94,0.97,0.95,0.97,0.97,0.93,0.92,0.96
Lao,,0.07,0.07,0.07,0.05,0.04,0.06,0.1,0.17,0.22,0.26,0.22,0.27,0.26,0.58,0.64,0.68,0.69,0.67,0.64,0.57,0.55,0.55,0.52,0.46,0.5,0.56,0.46,0.6,0.67,0.76,0.79,0.78,0.86,0.88,0.8,0.66,0.68,0.67,0.67
Latvia,,,,,,,,,,,,,0.95,0.83,0.98,0.98,0.93,0.92,0.94,0.95,0.96,0.97,0.98,0.98,0.99,0.99,0.96,0.94,0.94,0.94,0.92,0.92,0.91,0.94,0.92,0.94,0.98,0.98,0.96,0.99
Lebanon,,0.04,0.09,0.06,0.04,0.17,0.3,0.46,0.62,0.78,0.82,0.86,0.88,0.91,0.93,0.93,0.94,0.92,0.89,0.86,0.83,0.8,0.77,0.74,0.74,0.74,0.75,0.75,0.75,0.76,0.77,0.79,0.8,0.81,0.81,0.81,0.81,0.81,0.81,0.81
Lesotho,0.56,0.54,0.59,0.64,0.72,0.8,0.79,0.78,0.79,0.81,0.82,0.83,0.84,0.86,0.87,0.88,0.87,0.86,0.86,0.86,0.82,0.78,0.84,0.9,0.89,0.88,0.88,0.87,0.86,0.89,0.92,0.95,0.93,0.9,0.88,0.85,0.87,0.87,0.87,0.87
Liberia,,,,,,,,,,,,,,,,,,,,0.58,0.56,0.54,0.51,0.49,0.47,0.66,0.66,0.67,0.79,0.84,0.71,0.77,0.8,0.8,0.62,0.8,0.84,0.84,0.84,0.74
Libya,0.6,0.67,0.72,0.79,0.81,0.81,0.82,0.82,0.84,0.87,0.84,0.87,0.9,0.96,0.95,0.95,0.96,0.96,0.95,0.94,0.94,0.94,0.93,0.95,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.96,0.94,0.97,0.97,0.96,0.73,0.73
Lithuania,,,,,,,,,,,,,0.88,0.86,0.88,0.89,0.93,0.95,0.88,0.88,0.92,0.97,0.97,0.91,0.9,0.93,0.94,0.95,0.96,0.98,0.95,0.92,0.93,0.93,0.93,0.93,0.94,0.94,0.92,0.92
Luxembourg,,,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.92,0.94,0.96,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.96,0.96,0.96,0.96,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Madagascar,,,0.08,0.11,0.13,0.21,0.28,0.34,0.41,0.42,0.46,0.54,0.64,0.64,0.64,0.56,0.48,0.48,0.53,0.57,0.58,0.6,0.61,0.65,0.74,0.8,0.83,0.83,0.77,0.76,0.7,0.73,0.71,0.73,0.73,0.71,0.75,0.71,0.76,0.8
Malawi,0.28,0.57,0.58,0.58,0.56,0.55,0.53,0.78,0.72,0.9,0.93,0.96,0.98,0.91,0.84,0.9,0.82,0.94,0.93,0.77,0.73,0.86,0.79,0.85,0.94,0.94,0.99,0.88,0.92,0.93,0.86,0.97,0.95,0.89,0.87,0.88,0.83,0.87,0.91,0.94
Malaysia,0.67,0.69,0.66,0.55,0.55,0.56,0.62,0.68,0.67,0.84,0.9,0.91,0.91,0.91,0.94,0.98,0.97,0.98,0.97,0.97,0.98,0.95,0.94,0.96,0.95,0.96,0.95,0.97,0.97,0.97,0.96,0.96,0.97,0.97,0.97,0.99,0.98,0.99,0.99,0.98
Maldives,0.04,0.01,0.01,0.13,0.24,0.28,0.42,0.42,0.86,0.91,0.94,0.97,0.98,0.98,0.97,0.97,0.96,0.97,0.97,0.98,0.98,0.97,0.98,0.98,0.96,0.98,0.98,0.98,0.98,0.98,0.97,0.96,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Mali,,,,,,0.08,0.06,0.08,0.18,0.26,0.42,0.34,0.38,0.46,0.39,0.49,0.53,0.52,0.52,0.53,0.53,0.56,0.65,0.67,0.7,0.78,0.79,0.76,0.74,0.77,0.77,0.72,0.65,0.57,0.62,0.67,0.72,0.72,0.72,0.72
Malta,,0.75,0.8,0.85,0.9,0.84,0.73,0.87,0.79,0.88,0.86,0.86,0.81,0.83,0.78,0.92,0.92,0.92,0.92,0.93,0.94,0.95,0.95,0.94,0.89,0.94,0.83,0.76,0.72,0.73,0.76,0.96,0.99,0.99,0.99,0.97,0.97,0.98,0.97,0.97
Marshall Islands,,,,,,,,0.33,0.37,0.63,0.89,0.71,0.62,0.52,0.62,0.64,0.77,0.71,0.86,0.86,0.36,0.56,0.8,0.8,0.68,0.88,0.95,0.91,0.96,0.99,0.95,0.88,0.8,0.79,0.77,0.85,0.69,0.79,0.8,0.78
Mauritania,,0.18,0.19,0.2,0.21,0.16,0.11,0.1,0.29,0.28,0.33,0.28,0.39,0.44,0.5,0.56,0.5,0.28,0.16,0.61,0.58,0.75,0.91,0.75,0.68,0.71,0.68,0.75,0.73,0.63,0.52,0.73,0.8,0.8,0.81,0.67,0.73,0.81,0.81,0.81
Mauritius,0.9,0.83,0.96,0.91,0.87,0.91,0.97,0.96,0.87,0.86,0.86,0.91,0.88,0.89,0.89,0.93,0.9,0.9,0.9,0.85,0.88,0.93,0.88,0.99,0.98,0.97,0.98,0.96,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.96,0.95,0.98,0.97
Mexico,0.91,0.99,0.99,0.88,0.99,0.67,0.96,0.97,0.95,0.96,0.66,0.87,0.91,0.83,0.92,0.92,0.95,0.95,0.96,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.96,0.95,0.95,0.97,0.99,0.83,0.87,0.87,0.96,0.85,0.88,0.82
"Micronesia, Fed. Sts.",,,,,,,,0.56,0.71,0.78,0.85,0.78,0.79,0.79,0.81,0.81,0.78,0.75,0.79,0.76,0.85,0.79,0.84,0.88,0.82,0.94,0.81,0.79,0.88,0.81,0.85,0.83,0.81,0.81,0.76,0.71,0.68,0.72,0.75,0.78
Moldova,,,,,,,,,,,,,0.93,0.92,0.94,0.97,0.99,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.99,0.98,0.93,0.96,0.87,0.97,0.96,0.92,0.92,0.92,0.88,0.91,0.9,0.94,0.94
Monaco,,,,,,,,,0.99,0.99,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Mongolia,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.87,0.87,0.78,0.54,0.79,0.77,0.86,0.9,0.92,0.94,0.94,0.94,0.95,0.98,0.98,0.99,0.99,0.98,0.99,0.95,0.96,0.96,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.92,0.95,0.91,0.93,0.95,0.94,0.94,0.91,0.89,0.89,0.87,0.86,0.86
Morocco,,,0.32,0.41,0.45,0.51,0.63,0.82,0.82,0.8,0.81,0.82,0.87,0.86,0.87,0.9,0.95,0.95,0.93,0.91,0.95,0.93,0.94,0.91,0.97,0.98,0.97,0.95,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Mozambique,,0.32,0.43,0.38,0.32,0.25,0.32,0.38,0.38,0.47,0.46,0.46,0.5,0.49,0.55,0.57,0.55,0.58,0.62,0.65,0.69,0.72,0.76,0.67,0.69,0.71,0.73,0.75,0.74,0.74,0.73,0.77,0.81,0.84,0.88,0.88,0.88,0.88,0.88,0.88
Myanmar,,,0.01,0.03,0.02,0.03,0.04,0.1,0.22,0.45,0.88,0.66,0.71,0.73,0.77,0.84,0.87,0.9,0.9,0.88,0.88,0.77,0.84,0.86,0.92,0.86,0.82,0.84,0.85,0.9,0.9,0.9,0.87,0.76,0.88,0.89,0.89,0.89,0.91,0.9
Namibia,,,,,,,,,,,,0.7,0.7,0.79,0.8,0.73,0.71,0.69,0.74,0.72,0.8,0.79,0.78,0.82,0.81,0.86,0.74,0.81,0.83,0.83,0.83,0.85,0.84,0.89,0.88,0.92,0.84,0.83,0.84,0.84
Nauru,,,,,0.52,0.73,0.59,0.55,0.67,0.7,0.74,0.7,0.67,0.63,0.6,0.56,0.46,0.36,0.72,0.64,0.27,0.99,0.59,0.66,0.73,0.8,0.9,0.99,0.99,0.99,0.99,0.99,0.79,0.87,0.95,0.91,0.97,0.87,0.9,0.96
Nepal,,0.01,0.03,0.04,0.06,0.2,0.34,0.43,0.43,0.42,0.42,0.45,0.48,0.51,0.54,0.5,0.6,0.7,0.66,0.76,0.74,0.73,0.72,0.76,0.8,0.78,0.91,0.82,0.82,0.93,0.83,0.92,0.9,0.92,0.92,0.9,0.85,0.9,0.91,0.92
Netherlands,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.95,0.95,0.94,0.93,0.94
New Zealand,,,,0.72,0.84,0.84,0.84,0.74,0.75,0.83,0.9,0.68,0.68,0.76,0.84,0.87,0.94,0.99,0.82,0.85,0.82,0.82,0.84,0.86,0.87,0.89,0.89,0.88,0.89,0.92,0.93,0.95,0.93,0.92,0.93,0.92,0.92,0.94,0.93,0.92
Nicaragua,0.21,0.24,0.71,0.83,0.81,0.88,0.94,0.99,0.91,0.87,0.9,0.85,0.84,0.84,0.84,0.83,0.83,0.83,0.83,0.85,0.85,0.89,0.85,0.86,0.8,0.87,0.88,0.93,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Niger,,0.06,0.06,0.05,0.05,0.04,0.05,0.07,0.09,0.13,0.22,0.19,0.2,0.2,0.2,0.23,0.23,0.25,0.33,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.52,0.57,0.68,0.71,0.75,0.4,0.71,0.62,0.79,0.83,0.82,0.85,0.79,0.81
Nigeria,,,,,0.08,0.16,0.21,0.28,0.36,0.47,0.55,0.42,0.38,0.28,0.45,0.31,0.26,0.25,0.22,0.27,0.31,0.36,0.4,0.42,0.43,0.45,0.46,0.54,0.6,0.66,0.54,0.48,0.42,0.41,0.4,0.42,0.53,0.55,0.56,0.57
North Korea,0.5,0.51,0.51,0.52,0.52,0.65,0.62,0.7,0.58,0.79,0.99,0.98,0.99,0.99,0.93,0.88,0.82,0.76,0.82,0.87,0.93,0.98,0.99,0.99,0.99,0.97,0.98,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98
North Macedonia,,,,,,,,,,,,,,0.99,0.91,0.95,0.94,0.97,0.94,0.95,0.96,0.91,0.97,0.96,0.95,0.98,0.92,0.96,0.96,0.96,0.95,0.97,0.97,0.98,0.96,0.92,0.95,0.91,0.92,0.92
