country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Norway,,,,0.9,0.9,0.9,0.84,0.8,0.84,0.84,0.84,0.93,0.98,0.92,0.93,0.92,0.92,0.91,0.91,0.91,0.91,0.91,0.93,0.92,0.92,0.91,0.94,0.93,0.94,0.94,0.93,0.94,0.95,0.94,0.93,0.95,0.96,0.96,0.96,0.97
Oman,0.18,0.19,0.24,0.31,0.45,0.6,0.82,0.89,0.9,0.98,0.98,0.95,0.99,0.97,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.97,0.96,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
Pakistan,0.02,0.03,0.05,0.15,0.23,0.3,0.34,0.36,0.38,0.4,0.54,0.5,0.42,0.37,0.39,0.58,0.46,0.52,0.58,0.6,0.61,0.63,0.64,0.66,0.67,0.63,0.58,0.54,0.53,0.52,0.52,0.63,0.64,0.65,0.69,0.72,0.75,0.75,0.75,0.75
Palau,,,,,,,,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.34,0.99,0.99,0.9,0.96,0.96,0.96,0.98,0.99,0.99,0.98,0.98,0.98,0.94,0.92,0.48,0.68,0.98,0.89,0.99,0.95,0.89,0.98,0.97,0.98,0.97
Panama,0.7,0.74,0.6,0.84,0.65,0.71,0.72,0.74,0.7,0.72,0.86,0.82,0.77,0.83,0.83,0.86,0.92,0.99,0.97,0.94,0.99,0.95,0.99,0.95,0.92,0.88,0.98,0.84,0.86,0.85,0.95,0.91,0.87,0.81,0.8,0.72,0.86,0.81,0.88,0.88
Papua New Guinea,0.29,0.32,0.27,0.27,0.32,0.34,0.42,0.46,0.48,0.52,0.68,0.68,0.57,0.56,0.6,0.68,0.58,0.35,0.49,0.51,0.51,0.52,0.54,0.62,0.59,0.61,0.65,0.68,0.69,0.7,0.61,0.55,0.65,0.62,0.43,0.51,0.48,0.35,0.42,0.42
Paraguay,0.14,0.26,0.39,0.47,0.68,0.99,0.9,0.81,0.7,0.59,0.64,0.68,0.73,0.66,0.7,0.68,0.72,0.75,0.79,0.83,0.86,0.9,0.87,0.86,0.92,0.96,0.98,0.95,0.85,0.82,0.89,0.89,0.89,0.89,0.93,0.93,0.93,0.92,0.88,0.84
Peru,0.16,0.2,0.23,0.22,0.28,0.47,0.5,0.45,0.61,0.6,0.73,0.74,0.85,0.88,0.87,0.89,0.93,0.91,0.93,0.96,0.93,0.9,0.95,0.95,0.81,0.66,0.94,0.93,0.93,0.92,0.92,0.91,0.94,0.71,0.78,0.88,0.88,0.83,0.83,0.87
Philippines,0.5,0.46,0.51,0.55,0.56,0.58,0.65,0.72,0.78,0.85,0.88,0.9,0.78,0.74,0.71,0.67,0.74,0.82,0.82,0.79,0.74,0.76,0.77,0.85,0.85,0.9,0.88,0.87,0.91,0.86,0.78,0.87,0.88,0.84,0.77,0.79,0.72,0.74,0.66,0.66
Poland,0.96,0.95,0.95,0.95,0.95,0.94,0.95,0.96,0.96,0.96,0.96,0.94,0.94,0.95,0.95,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.96,0.96,0.96,0.96,0.95,0.95,0.94,0.92,0.92,0.9,0.87,0.87
Portugal,0.18,0.16,0.18,0.2,0.21,0.29,0.78,0.81,0.81,0.88,0.89,0.95,0.93,0.92,0.96,0.96,0.95,0.93,0.96,0.96,0.96,0.96,0.96,0.96,0.95,0.93,0.97,0.96,0.97,0.96,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99
Qatar,0.61,0.43,0.37,0.49,0.6,0.71,0.7,0.86,0.69,0.81,0.82,0.86,0.88,0.9,0.91,0.92,0.92,0.92,0.94,0.92,0.91,0.93,0.96,0.93,0.95,0.98,0.95,0.97,0.98,0.98,0.98,0.92,0.93,0.99,0.99,0.99,0.98,0.97,0.98,0.98
Romania,,,,,,0.92,0.9,0.9,0.92,0.95,0.92,0.9,0.92,0.91,0.94,0.94,0.97,0.97,0.98,0.98,0.99,0.99,0.98,0.97,0.97,0.97,0.97,0.96,0.95,0.95,0.94,0.89,0.92,0.88,0.94,0.89,0.89,0.82,0.86,0.88
Russia,,,,,,,,,,,,,0.69,0.82,0.68,0.77,0.87,0.91,0.94,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96
Rwanda,,0.15,0.2,0.25,0.41,0.56,0.86,0.86,0.78,0.93,0.83,0.9,0.86,0.83,0.23,0.84,0.89,0.73,0.79,0.85,0.9,0.76,0.85,0.96,0.89,0.95,0.99,0.98,0.97,0.93,0.93,0.93,0.98,0.98,0.98,0.99,0.99,0.98,0.97,0.98
Samoa,0.29,0.66,0.87,0.89,0.96,0.92,0.94,0.93,0.9,0.66,0.88,0.79,0.91,0.92,0.93,0.94,0.95,0.99,0.99,0.97,0.98,0.88,0.91,0.9,0.35,0.66,0.49,0.63,0.69,0.61,0.74,0.79,0.82,0.82,0.78,0.81,0.77,0.71,0.31,0.55
San Marino,,,,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.93,0.92,0.92,0.92,0.91,0.94,0.91,0.88,0.86,0.87,0.88,0.91,0.93,0.9
Sao Tome and Principe,,0.48,0.48,0.48,0.48,0.48,0.66,0.72,0.72,0.62,0.9,0.87,0.67,0.6,0.69,0.79,0.68,0.73,0.72,0.8,0.87,0.9,0.92,0.94,0.99,0.97,0.97,0.98,0.99,0.99,0.98,0.96,0.96,0.97,0.95,0.96,0.96,0.95,0.95,0.95
Saudi Arabia,0.41,0.53,0.62,0.67,0.76,0.81,0.86,0.89,0.89,0.96,0.92,0.91,0.91,0.94,0.95,0.96,0.93,0.92,0.94,0.93,0.95,0.97,0.95,0.95,0.96,0.96,0.96,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.98,0.97
Senegal,,,,,,,0.55,0.56,0.58,0.56,0.53,0.51,0.59,0.58,0.57,0.8,0.7,0.65,0.6,0.6,0.49,0.49,0.6,0.73,0.87,0.84,0.89,0.93,0.87,0.83,0.76,0.89,0.83,0.89,0.85,0.85,0.92,0.91,0.82,0.91
Serbia,,,,,,,,,,,,,0.84,0.83,0.84,0.9,0.91,0.94,0.93,0.92,0.98,0.93,0.95,0.89,0.96,0.98,0.97,0.93,0.95,0.97,0.91,0.94,0.93,0.97,0.93,0.95,0.93,0.95,0.96,0.97
Seychelles,,0.16,0.57,0.98,0.95,0.86,0.94,0.89,0.94,0.97,0.99,0.98,0.96,0.96,0.96,0.97,0.99,0.98,0.99,0.99,0.98,0.96,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.99,0.97,0.96,0.97,0.99,0.99
Sierra Leone,,,,,,,,,,,,,,,,,,,,0.61,0.46,0.38,0.54,0.66,0.69,0.67,0.65,0.63,0.75,0.81,0.84,0.88,0.91,0.92,0.83,0.86,0.84,0.9,0.93,0.95
Singapore,0.83,0.88,0.83,0.86,0.81,0.81,0.94,0.95,0.9,0.9,0.85,0.91,0.92,0.92,0.94,0.98,0.97,0.98,0.97,0.97,0.98,0.95,0.94,0.96,0.95,0.96,0.95,0.97,0.97,0.97,0.96,0.96,0.97,0.97,0.96,0.96,0.96,0.96,0.96,0.96
Slovak Republic,,,,,,,,,,,,,,,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.97,0.96,0.96,0.96,0.96,0.97
Slovenia,,,,,,,,,,,,,0.98,0.98,0.98,0.98,0.98,0.92,0.9,0.93,0.93,0.93,0.93,0.95,0.94,0.95,0.97,0.97,0.97,0.96,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.93,0.95
Solomon Islands,0.43,0.34,0.22,0.27,0.41,0.36,0.41,0.41,0.63,0.66,0.75,0.74,0.73,0.71,0.65,0.69,0.98,0.7,0.71,0.88,0.88,0.88,0.78,0.84,0.89,0.9,0.99,0.89,0.88,0.9,0.84,0.97,0.88,0.85,0.78,0.85,0.89,0.8,0.85,0.93
Somalia,0.08,0.02,0.05,0.05,0.11,0.22,0.17,0.25,0.26,0.18,0.18,0.18,0.2,0.21,0.23,0.22,0.21,0.19,0.35,0.4,0.37,0.33,0.4,0.4,0.3,0.35,0.26,0.4,0.4,0.41,0.49,0.49,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47
South Africa,,,,0.8,0.76,0.77,0.7,0.75,0.7,0.73,0.76,0.82,0.79,0.81,0.73,0.72,0.73,0.72,0.72,0.71,0.71,0.71,0.7,0.7,0.73,0.75,0.79,0.79,0.77,0.75,0.72,0.71,0.69,0.79,0.85,0.85,0.76,0.76,0.74,0.77
South Korea,,0.62,0.7,0.78,0.8,0.8,0.8,0.93,0.91,0.88,0.74,0.79,0.84,0.88,0.93,0.99,0.91,0.81,0.71,0.85,0.99,0.99,0.99,0.94,0.9,0.96,0.98,0.91,0.92,0.95,0.95,0.98,0.99,0.99,0.99,0.98,0.98,0.97,0.98,0.98
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.67,0.56,0.52,0.52,0.45,0.48,0.5,0.5
Spain,,,,,0.91,0.73,0.75,0.82,0.94,0.94,0.94,0.88,0.85,0.88,0.88,0.88,0.91,0.94,0.94,0.95,0.95,0.95,0.98,0.99,0.97,0.96,0.98,0.96,0.97,0.96,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.95,0.96,0.96
Sri Lanka,0.46,0.45,0.56,0.64,0.65,0.71,0.75,0.79,0.85,0.88,0.86,0.86,0.88,0.9,0.89,0.92,0.92,0.98,0.94,0.99,0.99,0.98,0.98,0.98,0.97,0.99,0.98,0.98,0.98,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
St. Kitts and Nevis,0.76,0.71,0.93,0.91,0.97,0.89,0.99,0.98,0.93,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.97,0.98,0.98,0.99,0.96,0.98,0.95,0.99,0.98,0.99,0.97,0.94,0.9,0.98,0.97,0.96,0.95,0.9,0.99,0.96,0.97,0.96
St. Lucia,0.58,0.65,0.81,0.8,0.84,0.44,0.88,0.86,0.87,0.93,0.9,0.95,0.96,0.97,0.93,0.98,0.88,0.98,0.88,0.89,0.7,0.99,0.9,0.91,0.91,0.95,0.85,0.99,0.96,0.95,0.97,0.99,0.98,0.99,0.99,0.99,0.95,0.8,0.95,0.91
St. Vincent and the Grenadines,0.26,0.33,0.99,0.84,0.9,0.89,0.95,0.96,0.97,0.97,0.92,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.93,0.99,0.99,0.99,0.99,0.99,0.96,0.96,0.97,0.97,0.99,0.99,0.99,0.99,0.99
Sudan,0.01,0.01,0.02,0.03,0.04,0.08,0.14,0.27,0.41,0.61,0.62,0.62,0.53,0.51,0.46,0.48,0.56,0.55,0.48,0.64,0.62,0.66,0.6,0.69,0.74,0.78,0.77,0.84,0.85,0.81,0.9,0.93,0.92,0.93,0.94,0.93,0.93,0.95,0.93,0.93
Suriname,0.24,0.22,0.53,0.83,0.79,0.85,0.8,0.7,0.71,0.71,0.81,0.77,0.71,0.75,0.71,0.81,0.84,0.81,0.9,0.84,0.7,0.65,0.74,0.74,0.84,0.84,0.84,0.84,0.85,0.85,0.94,0.83,0.79,0.78,0.76,0.78,0.77,0.51,0.81,0.76
Sweden,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.97,0.97,0.98
Switzerland,,,,,,,0.98,0.97,0.95,0.98,0.98,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.92,0.95,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
Syria,0.13,0.14,0.15,0.21,0.25,0.29,0.86,0.42,0.59,0.94,0.91,0.89,0.89,0.9,0.89,0.89,0.88,0.87,0.88,0.87,0.86,0.83,0.86,0.85,0.84,0.83,0.83,0.83,0.83,0.83,0.83,0.6,0.47,0.5,0.52,0.5,0.48,0.53,0.53,0.6
Tajikistan,,,,,,,,,,,,,0.61,0.65,0.8,0.69,0.77,0.8,0.82,0.84,0.86,0.84,0.84,0.82,0.82,0.79,0.76,0.85,0.87,0.93,0.95,0.97,0.96,0.97,0.94,0.96,0.97,0.97,0.96,0.97
Tanzania,0.57,0.46,0.48,0.49,0.47,0.64,0.73,0.8,0.82,0.66,0.78,0.81,0.82,0.78,0.83,0.79,0.8,0.79,0.79,0.74,0.64,0.65,0.91,0.97,0.95,0.91,0.91,0.88,0.89,0.88,0.94,0.88,0.9,0.91,0.97,0.93,0.89,0.89,0.82,0.89
Thailand,0.19,0.31,0.39,0.46,0.56,0.61,0.66,0.71,0.8,0.84,0.92,0.9,0.84,0.89,0.93,0.96,0.94,0.95,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.97,0.97
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,0.38,0.55,0.57,0.55,0.62,0.7,0.79,0.78,0.72,0.66,0.83,0.82,0.76,0.75,0.79,0.83,0.83,0.9
Togo,,0.09,0.1,0.1,0.11,0.23,0.35,0.6,0.54,0.72,0.76,0.73,0.69,0.66,0.62,0.59,0.53,0.47,0.43,0.57,0.63,0.51,0.58,0.72,0.71,0.8,0.85,0.72,0.8,0.78,0.83,0.85,0.84,0.84,0.82,0.82,0.81,0.76,0.58,0.78
Tonga,0.2,0.37,0.8,0.57,0.46,0.81,0.73,0.87,0.92,0.93,0.93,0.92,0.99,0.96,0.9,0.93,0.99,0.96,0.97,0.94,0.95,0.95,0.9,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.98,0.96,0.96,0.99,0.99,0.99
Trinidad and Tobago,0.38,0.55,0.59,0.61,0.66,0.74,0.71,0.8,0.83,0.77,0.87,0.81,0.87,0.78,0.85,0.9,0.9,0.91,0.91,0.9,0.9,0.91,0.96,0.91,0.94,0.95,0.89,0.9,0.91,0.9,0.91,0.91,0.91,0.94,0.94,0.88,0.84,0.94,0.99,0.93
Tunisia,,,,0.62,0.66,0.7,0.72,0.84,0.91,0.93,0.93,0.93,0.95,0.94,0.93,0.94,0.95,0.96,0.96,0.99,0.97,0.98,0.96,0.95,0.97,0.98,0.99,0.98,0.99,0.99,0.98,0.98,0.95,0.95,0.94,0.93,0.93,0.92,0.9,0.92
Turkey,0.63,0.69,0.61,0.59,0.57,0.55,0.45,0.86,0.86,0.79,0.84,0.72,0.77,0.76,0.91,0.67,0.73,0.79,0.81,0.79,0.85,0.88,0.78,0.69,0.85,0.9,0.9,0.96,0.96,0.96,0.97,0.97,0.97,0.98,0.96,0.97,0.98,0.96,0.98,0.99
Turkmenistan,,,,,,,,,,,,,0.91,0.92,0.94,0.96,0.98,0.99,0.99,0.98,0.98,0.94,0.99,0.66,0.98,0.99,0.98,0.98,0.96,0.97,0.96,0.97,0.98,0.98,0.98,0.99,0.98,0.99,0.99,0.99
Tuvalu,0.23,0.44,0.79,0.83,0.74,0.97,0.73,0.59,0.91,0.66,0.84,0.71,0.86,0.86,0.95,0.85,0.92,0.8,0.78,0.84,0.82,0.96,0.98,0.93,0.98,0.99,0.97,0.97,0.99,0.85,0.89,0.96,0.97,0.9,0.89,0.96,0.94,0.96,0.89,0.92
Uganda,,0.08,0.09,0.11,0.12,0.13,0.21,0.3,0.38,0.42,0.45,0.49,0.52,0.56,0.59,0.58,0.57,0.55,0.5,0.54,0.55,0.56,0.57,0.57,0.58,0.59,0.62,0.7,0.69,0.78,0.79,0.79,0.79,0.78,0.78,0.85,0.88,0.9,0.88,0.92
Ukraine,,,,,,,,,,,,,0.89,0.91,0.96,0.97,0.99,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.98,0.91,0.74,0.57,0.54,0.72,0.72,0.45,0.51,0.56,0.48,0.71,0.78
United Arab Emirates,0.11,0.45,0.46,0.5,0.59,0.74,0.77,0.8,0.82,0.85,0.85,0.85,0.86,0.9,0.9,0.9,0.9,0.92,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.96,0.98,0.99,0.99,0.99,0.96,0.99,0.95
United Kingdom,0.81,0.82,0.84,0.84,0.84,0.95,0.85,0.87,0.87,0.89,0.92,0.93,0.95,0.95,0.95,0.96,0.96,0.92,0.91,0.92,0.91,0.91,0.91,0.91,0.92,0.91,0.92,0.92,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.94,0.94,0.94,0.93
United States,0.95,0.96,0.97,0.97,0.97,0.96,0.97,0.97,0.97,0.91,0.85,0.78,0.72,0.79,0.84,0.88,0.91,0.91,0.91,0.9,0.9,0.89,0.9,0.91,0.92,0.92,0.93,0.93,0.94,0.93,0.93,0.94,0.93,0.93,0.93,0.93,0.94,0.94,0.93,0.93
Uruguay,0.59,0.6,0.72,0.77,0.8,0.58,0.64,0.85,0.82,0.88,0.97,0.96,0.93,0.92,0.91,0.91,0.91,0.91,0.91,0.93,0.92,0.94,0.93,0.91,0.95,0.96,0.95,0.94,0.94,0.95,0.95,0.95,0.95,0.94,0.95,0.95,0.95,0.93,0.91,0.93
Uzbekistan,,,,,,,,,,,,,0.85,0.46,0.79,0.99,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.94,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98
Vanuatu,,,0.17,0.18,0.27,0.27,0.31,0.53,0.58,0.7,0.78,0.82,0.78,0.87,0.74,0.74,0.68,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.69,0.7,0.72,0.74,0.75,0.77,0.78,0.8,0.8,0.81,0.83,0.85,0.9
Venezuela,0.95,0.75,0.76,0.77,0.59,0.59,0.64,0.61,0.74,0.67,0.72,0.74,0.73,0.72,0.73,0.85,0.73,0.76,0.62,0.86,0.86,0.87,0.81,0.86,0.83,0.8,0.73,0.67,0.76,0.75,0.74,0.78,0.73,0.82,0.79,0.87,0.82,0.79,0.53,0.62
Vietnam,,,,0.02,0.05,0.62,0.45,0.45,0.54,0.7,0.88,0.88,0.89,0.91,0.94,0.94,0.94,0.95,0.94,0.93,0.96,0.96,0.92,0.96,0.96,0.94,0.94,0.92,0.93,0.97,0.94,0.96,0.97,0.93,0.96,0.97,0.95,0.94,0.9,0.89
Yemen,0.01,0.03,0.04,0.05,0.07,0.12,0.13,0.18,0.36,0.56,0.84,0.47,0.5,0.54,0.33,0.44,0.47,0.4,0.68,0.71,0.74,0.73,0.64,0.61,0.72,0.8,0.78,0.79,0.78,0.76,0.77,0.69,0.68,0.67,0.67,0.63,0.65,0.62,0.59,0.67
Zambia,,,,0.46,0.5,0.61,0.74,0.81,0.81,0.81,0.9,0.8,0.83,0.87,0.9,0.84,0.83,0.82,0.83,0.84,0.85,0.86,0.85,0.85,0.84,0.84,0.83,0.77,0.9,0.93,0.8,0.83,0.7,0.74,0.78,0.9,0.87,0.92,0.9,0.89
Zimbabwe,,0.38,0.46,0.53,0.61,0.63,0.82,0.86,0.87,0.88,0.89,0.88,0.86,0.85,0.87,0.88,0.9,0.86,0.84,0.81,0.78,0.76,0.73,0.7,0.67,0.69,0.71,0.73,0.75,0.69,0.89,0.93,0.95,0.95,0.92,0.88,0.9,0.89,0.89,0.9
